ZONA,CÓDIGO ANTERIOR,EDIFICIO/AREA,NOMBRE DEL EDIFICACIÓN/ÁREA,NIVEL,TIPO DE ESPACIO ,DETALLE DEL ESPACIO,IDENTIFICADOR DE ESPACIO,SECUENCIA,ETIQUETA 
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,36,O036
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,37,O037
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,38,O038
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,39,O039
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,40,O040
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,41,O041
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,42,O042
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,43,O043
11,15A,A,GOBIERNO FIEC,0,SALA DE REUNIONES,SALA DE SESIONES,S,3,S003
11,15A,A,GOBIERNO FIEC,0,ADMINISTRACIÓN (GOBIERNO),ÁREA ADMINISTRATIVA DE FIEC,G,1,G001
11,15A,A,GOBIERNO FIEC,0,OFICINA,SERVICIOS GENERALES Y COMPRAS FIEC,O,44,O044
11,15A,A,GOBIERNO FIEC,0,OFICINA,DECANO FIEC,O,46,O046
11,15A,A,GOBIERNO FIEC,0,OFICINA,SECRETARÍA DE ATENCIÓN A ESTUDIANTES FIEC,O,47,O047
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DEL SUBDECANO FIEC,O,48,O048
11,15A,A,GOBIERNO FIEC,0,OFICINA,SECRETARÍA GENERAL FIEC,O,49,O049
11,15A,A,GOBIERNO FIEC,1,AULA,AULA PARA DICTAR CLASES,A,1,A101
11,15A,A,GOBIERNO FIEC,1,AULA,AULA PARA DICTAR CLASES,A,2,A102
11,15A,A,GOBIERNO FIEC,1,AULA,AULA PARA DICTAR CLASES,A,3,A103
11,15A,A,GOBIERNO FIEC,1,AULA,AULA PARA DICTAR CLASES,A,4,A104
11,15A,A,GOBIERNO FIEC,1,AULA,AULA PARA DICTAR CLASES,A,5,A105
11,15A,A,GOBIERNO FIEC,1,AULA,SALA MÚLTIPLE DE POSTGRADO FIEC,A,6,A106
11,15A,A,GOBIERNO FIEC,1,SALA DE AYUDANTÍAS,SALA DE AYUDANTÍAS FIEC,Y,1,SALA DE AYUDANTÍAS
11,15A,A,GOBIERNO FIEC,1,SALA DE LECTURA,SALA DE ESTUDIOS DOCTORALES FIEC,,,SALA DE LECTURA
11,15A,A,GOBIERNO FIEC,1,BIBLIOTECA,BIBLIOTECA DE FIEC,,,BIBLIOTECA
11,15A,A,GOBIERNO FIEC,2,LABORATORIO,LABORATORIO DE CISCO,L  ,1,L201
11,15A,A,GOBIERNO FIEC,2,LABORATORIO,LABORATORIO 1 - OPERACIONES UNITARIA,L  ,2,L202
11,15A,A,GOBIERNO FIEC,2,LABORATORIO,LABORATORIO 2 - OPERACIONES UNITARIAS,L  ,3,L203
11,15A,A,GOBIERNO FIEC,2,LABORATORIO,LABORATORIO DE INGENIERÍA EN SOFTWARE ,L  ,4,L204
11,15A,A,GOBIERNO FIEC,2,LABORATORIO,LABORATORIO DE SISTEMAS MULTIMEDIA,L  ,5,L205
11,15A,A,GOBIERNO FIEC,2,LABORATORIO,LABORATORIO DE TELECOMUNICACIONES,L  ,6,L206
11,15A,A,GOBIERNO FIEC,2,LABORATORIO,LABORATORIO DE SIMULACIÓN DE TELECOMUNICACIONES,L  ,7,L207
11,15A,A,GOBIERNO FIEC,2,LABORATORIO,LABORATORIO DE SISTEMAS DIGITALES,L  ,8,L208
11,15A,A,GOBIERNO FIEC,2,LABORATORIO,LABORATORIO DE MICROCONTROLADORES,L  ,9,L209
11,15A,A,GOBIERNO FIEC,2,LABORATORIO,LABORATORIO DE SISTEMAS DIGITALES,L  ,10,L210
11,15A,B,LABORATORIOS DE COMPUTACIÓN,0,LABORATORIO,LABORATORIO 1 FIEC,L  ,1,L001
11,15A,B,LABORATORIOS DE COMPUTACIÓN,0,LABORATORIO,LABORATORIO 2 FIEC,L  ,2,L002
11,15A,B,LABORATORIOS DE COMPUTACIÓN,0,LABORATORIO,LABORATORIO 3 FIEC,L  ,3,L003
11,15A,B,LABORATORIOS DE COMPUTACIÓN,0,LABORATORIO,LABORATORIO 4 FIEC,L  ,4,L004
11,15A,B,LABORATORIOS DE COMPUTACIÓN,0,LABORATORIO,LABORATORIO 5 FIEC,L  ,5,L005
11,15A,B,LABORATORIOS DE COMPUTACIÓN,0,LABORATORIO,LABORATORIO 6 FIEC,L  ,6,L006
11,15A,B,LABORATORIOS DE COMPUTACIÓN,0,LABORATORIO,LABORATORIO 7 FIEC,L  ,7,L007
11,15A,B,LABORATORIOS DE COMPUTACIÓN,0,OFICINA,DEPARTAMENTO DE SOPORTE TÉCNICO FIEC,O,1,O001
11,15A,B,LABORATORIOS DE COMPUTACIÓN,0,OFICINA,JEFATURA DTS,O,2,O002
11,15A,B,LABORATORIOS DE COMPUTACIÓN,0,SALA DE REUNIONES,PEQUEÑA SALA DE REUNIONES DENTRO DE LA JEFATURA DTS,S,1,S001
11,15A,B,LABORATORIOS DE COMPUTACIÓN,0,OFICINA,OFICINA DEL ENCARGADO DE DTS,O,3,O003
11,15A,B,LABORATORIOS DE COMPUTACIÓN,0,SALA DE ESTUDIOS,SALA DE ESTUDIOS DOCTORALES,0,1,FALSO001
11,15A,B,LABORATORIOS DE COMPUTACIÓN,0,OFICINA,MOOC,O,4,O004
11,15A,B,LABORATORIOS DE COMPUTACIÓN,0,OFICINA,OFICINA ADMINISTRATIVA DE POSTGRADO FIEC,O,7,O007
11,15A,B,LABORATORIOS DE COMPUTACIÓN,1,AULA,AULA,A,2,A102
11,16AB,C,LABORATORIOS DE FIEC,0,LABORATORIO,LABORATORIO ING. PEDRO CARLO PAREDES,L  ,1,L001
11,16AB,C,LABORATORIOS DE FIEC,0,LABORATORIO,LABORATORIO DE ELECTRÓNICA A - ING. RODRIGO BERREZUETA PEÑAHERRERA,L  ,2,L002
11,16AB,C,LABORATORIOS DE FIEC,0,LABORATORIO,LABORATORIO DE CIRCUITOS IMPRESOS,L  ,3,L003
11,16AB,C,LABORATORIOS DE FIEC,0,OFICINA,TAWS,O,1,O001
11,16AB,C,LABORATORIOS DE FIEC,0,OFICINA,GICOM,O,2,O002
11,16AB,C,LABORATORIOS DE FIEC,0,LABORATORIO,LABORATORIO DE SIMULACIÓN DE TIEMPO REAL,L  ,4,L004
11,16AB,C,LABORATORIOS DE FIEC,0,LABORATORIO,LABORATORIO DE SISTEMAS TELEMÁTICOS,L  ,5,L005
11,16AB,C,LABORATORIOS DE FIEC,0,OFICINA,OFICINA DEL ENCARGADO,O,,
11,16AB,C,LABORATORIOS DE FIEC,0,LABORATORIO,LABORATORIO DE MAQUINARIA ELÉCTRICA,L  ,6,L006
11,16AB,C,LABORATORIOS DE FIEC,0,OFICINA,OFICINA DEL PROFESOR ENCARGADO,O,,
11,16AB,C,LABORATORIOS DE FIEC,0,TALLERES,TALLERES,T,,
11,16AB,C,LABORATORIOS DE FIEC,0,LABORATORIO,LABORATORIO DE INSTRUMENTACIÓN INDUSTRIAL,L  ,7,L007
11,16AB,C,LABORATORIOS DE FIEC,0,OFICINA,OFICINA DEL PROFESOR ENCARGADO,O,,
11,16AB,C,LABORATORIOS DE FIEC,0,LABORATORIO,"LABORATORIO DE ELECTRÓNICA DE POTENICA, DRIVERS Y MÁQUINAS ELÉCTRICAS AVANZADAS",L  ,8,L008
11,16AB,C,LABORATORIOS DE FIEC,0,SALA DE LECTURA,ESPACIO PARA QUE LOS ALUMNOS PUEDAN ESTUDIAR,X,,
11,16AB,C,LABORATORIOS DE FIEC,0,OFICINA,OFICINA DEL PROFESOR ENCARGADO,O,,
11,16AB,C,LABORATORIOS DE FIEC,0,LABORATORIO,LABORATORIO DE SISTEMAS DE POTENCIA ING. ALBERTO HENZA BELLO,L  ,9,L009
11,16AB,C,LABORATORIOS DE FIEC,0,OFICINA,OFICINA DEL PROFESOR ENCARGADO,O,,
11,16AB,C,LABORATORIOS DE FIEC,0,LABORATORIO,"LABORATORIO DE COMPUTACIÓN DE SISTEMAS DE POTENCIA CRISTÓBAL MERA GENCÓN, Ph.D.",L  ,10,L010
11,16AB,C,LABORATORIOS DE FIEC,0,LABORATORIO,LABORATORIO DE SIMULACIÓN DE SISTEMAS,L  ,11,L011
11,16AB,C,LABORATORIOS DE FIEC,0,AULA,UTILIZADA POR UN PROFESOR QUE DA CLASE DE AJEDREZ,A,1,A001
11,16AB,C,LABORATORIOS DE FIEC,0,AULA,AULA DEL LABORATORIO DE REDES ELÉCTRICAS,A,2,A002
11,16AB,C,LABORATORIOS DE FIEC,0,SALA DE AYUDANTÍAS,SALA CARLOS PAEZ QUITO,Y,,
11,16AB,C,LABORATORIOS DE FIEC,0,LABORATORIO,LABORATORIO DE REDES ELÉCTRICAS,L  ,12,L012
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,LABORATORIO DE ELECTRÓNICA MÉDICA,L  ,1,L101
11,16AB,C,LABORATORIOS DE FIEC,1,OFICINA,PROFESOR ENCARGADO,O,,
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,LABORATORIO DE AUTOMATIZACIÓN INDUSTRIAL,L  ,2,L102
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,LABORATORIO DE ROBÓTICA MÓVIL,L  ,3,L103
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,LABORATORIO DE CONTROL AUTOMÁTICO,L  ,4,L104
11,16AB,C,LABORATORIOS DE FIEC,1,OFICINA,PROFESOR ENCARGADO DEL LABORATORIO DE AUTOMATIZACIÓN INDUSTRIAL,O,,
11,16AB,C,LABORATORIOS DE FIEC,1,OFICINA,OFICINA DEL LABORATORIO DE AUTOMATIZACIÓN INDUSTRIAL,O,,
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,LABORATORIO DE REALIDAD VISTUAL,L  ,5,L105
11,16AB,C,LABORATORIOS DE FIEC,1,SALA DE PRÁCTICAS,SALA DE PRÁCTICAS,,,
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,LABORATORIO DE ELECTRÓNICA B,L  ,6,L106
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,LABORATORIO DE CONTROLES INDUSTRIALES ELÉCTRICOS ING. JORGE CHIRIBOGA VÁSCONEZ,L  ,7,L107
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,LABORATORIO DE MECATRÓNICA,L  ,8,L108
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,LABORATORIO DE SISTEMAS EMBEBIDOS,L  ,9,L109
11,16AB,C,LABORATORIOS DE FIEC,1,OFICINA,OFICINA,O,,
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,LABORATORIO DE RADIOFRECUENCIAS,L  ,10,L110
11,16AB,C,LABORATORIOS DE FIEC,1,OFICINA,OFICINA,O,,
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,CENTRO DE VISIÓN Y ROBÓTICA/AVERIGUAR (Por averiguar),L  ,11,L111
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,LABORATORIO DE REDES AVANZADAS,L  ,12,L112
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,LABORATORIO DE REDES DE DATOS (Por averiguar),L  ,13,L113
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,LABORATORIO DE SISTEMAS COMPLEJOS,L  ,14,L114
11,16AB,C,LABORATORIOS DE FIEC,1,LABORATORIO,LABORATORIO DE CONTROL Y PROCESOS,L  ,15,L115
11,24AB,D,AULAS FIEC,0,OFICINA,ASOCIACIÓN DE ESTUDIANTES DE FIEC,O,1,O001
11,24AB,D,AULAS FIEC,0,AULA,AULA PARA DAR CLASES,A,1,A001
11,24AB,D,AULAS FIEC,0,AULA,AULA PARA DAR CLASES,A,2,A002
11,24AB,D,AULAS FIEC,0,AULA,AULA PARA DAR CLASES,A,3,A003
11,24AB,D,AULAS FIEC,0,AULA,AULA PARA DAR CLASES,A,4,A004
11,24AB,D,AULAS FIEC,0,LABORATORIO,LABORATORIO DE PROYECTOS ELÉCTRICOS Y ELECTRÓNICOS,L  ,1,L001
11,24AB,D,AULAS FIEC,0,OFICINA,OFICINA DE IEEE,O,2,O002
11,24AB,D,AULAS FIEC,0,AULA,AULA PARA DAR CLASES,A,5,A005
11,24AB,D,AULAS FIEC,0,AULA,AULA PARA DAR CLASES,A,6,A006
11,24AB,D,AULAS FIEC,0,AULA,AULA PARA DAR CLASES,A,7,A007
11,24AB,D,AULAS FIEC,0,KIOSKO DE SERVICIO,IMPRESIONES Y COPIAS,KS,2,KS02
11,24AB,D,AULAS FIEC,0,OFICINA,OFICINA DE KOKOA,O,3,O003
11,24AB,D,AULAS FIEC,0,AULA,AULA PARA DAR CLASES,A,8,A008
11,24AB,D,AULAS FIEC,1,OFICINA,OFICINA DE PROFESOR,O,1,O101
11,24AB,D,AULAS FIEC,1,OFICINA,OFICINA DE PROFESOR,O,2,O102
11,24AB,D,AULAS FIEC,1,OFICINA,OFICINA DE PROFESOR,O,3,O103
11,24AB,D,AULAS FIEC,1,OFICINA,OFICINA DE PROFESOR,O,4,O104
11,24AB,D,AULAS FIEC,1,OFICINA,OFICINA DE PROFESOR,O,5,O105
11,24AB,D,AULAS FIEC,1,OFICINA,OFICINA DE PROFESOR,O,6,O106
11,24AB,D,AULAS FIEC,1,AULA,AULA PARA DAR CLASES,A,1,A101
11,24AB,D,AULAS FIEC,1,AULA,AULA PARA DAR CLASES; ING. PEDRO VARGAS,A,2,A102
11,24AB,D,AULAS FIEC,1,AULA,AULA PARA DAR CLASES,A,3,A103
11,24AB,D,AULAS FIEC,1,AULA,AULA PARA DAR CLASES,A,4,A104
11,24AB,D,AULAS FIEC,1,AULA,AULA PARA DAR CLASES,A,5,A105
11,24AB,D,AULAS FIEC,1,AULA,AULA PARA DAR CLASES,A,6,A106
11,24AB,D,AULAS FIEC,1,AULA,AULA PARA DAR CLASES,A,7,A107
11,24AB,D,AULAS FIEC,1,AULA,AULA PARA DAR CLASES,A,8,A108
11,24AB,D,AULAS FIEC,1,AULA,AULA PARA DAR CLASES,A,9,A109
11,24AB,D,AULAS FIEC,1,AULA,AULA PARA DAR CLASES,A,10,A110
11,15,F,OFICINA DE PROFESORES 11 F,0,AULA,AULA,A,1,A001
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,1,O001
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,2,O002
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,3,O003
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,4,O004
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,5,O005
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,6,O006
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,7,O007
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,8,O008
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,9,O009
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,10,O010
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,11,O011
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,12,O012
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,13,O013
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,14,O014
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PASANTÍAS PRE-PROFESIONALES,O,15,O015
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,16,O016
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,17,O017
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,18,O018
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,19,O019
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,20,O020
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,21,O021
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,22,O022
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,23,O023
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,24,O024
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,25,O025
11,15,F,OFICINA DE PROFESORES 11 F,0,OFICINA,OFICINA DE PROFESORES,O,26,O026
11,15,F,CISCO,1,KIOSKO DE SERVICIO,IMPRESIÓN,KS,4,KS04
11,15,F,CISCO,1,OFICINA,OFICINA DE PROFESORES,O,1,O101
11,15,F,CISCO,1,OFICINA,OFICINA DE PROFESORES,O,2,O102
11,15,F,CISCO,1,OFICINA,OFICINA DE PROFESORES,O,3,O103
11,15,F,CISCO,1,OFICINA,ACADEMIAS - SUN - CISCO - ESPOL,O,4,O104
11,15,F,CISCO,1,OFICINA,OFICINA DE PROFESORES,O,5,O105
11,15,F,CISCO,1,OFICINA,OFICINA DE PROFESORES,O,6,O106
11,15,F,CISCO,1,OFICINA,GRUPO DE RADIACIÓN NO IONIZANTE,O,7,O107
11,15,F,CISCO,1,OFICINA,OFICINA,O,8,O108
11,15,F,CISCO,1,OFICINA,CÉLULA ESTUDIANTIL MICROSOFT ESPOL,O,9,O109
11,15,F,CISCO,1,OFICINA,OFICINA DE PROFESORES,O,10,O110
11,15,F,CISCO,1,OFICINA,OFICINA DE PROFESORES,O,11,O111
11,15,F,CISCO,1,OFICINA,OFICINA DE PROFESORES,O,12,O112
11,15,F,CISCO,1,OFICINA,OFICINA DE PROFESORES,O,13,O113
11,15,F,CISCO,1,OFICINA,OFICINA DE PROFESORES,O,14,O114
11,15,F,CISCO,1,OFICINA,OFICINA DE PROFESORES,O,15,O115
